tweet_ID Text Location Time_Stamp
1056696695294173184|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|Puttelange-lès-Thionville, France|Sun Oct 28 23:58:19 +0000 2018
1056696687362801665|#LNBP  Marcador FINAL @LibertadoresQro VS @PanterasAgs #Temporada20182019 #LNBP20182019   https://t.co/DvWAPaBXqu|México|Sun Oct 28 23:58:17 +0000 2018
1056696578105376768|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|Abidjan|Sun Oct 28 23:57:51 +0000 2018
1056696360471330816|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|Somewhere|Sun Oct 28 23:56:59 +0000 2018
1056695873583964163|RT @vermairmusic: Synthwave 80s music for videos ! CHECK IT OUT  https://t.co/6gFwRQfJQA  #synthwave #synth #Retro #80smusic #80s #sport||Sun Oct 28 23:55:03 +0000 2018
1056695827127787520|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|La Ligue Des Ombres|Sun Oct 28 23:54:52 +0000 2018
1056695473971486721|Check out this highlights reel from Friday night! https://t.co/pCK4MrDwP4 #RiseUp .#basketball https://t.co/FOIvL5Aowq|Bendigo, Australia|Sun Oct 28 23:53:28 +0000 2018
1056695387153711104|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|Dallas, TX|Sun Oct 28 23:53:07 +0000 2018
1056695332082499585|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men||Sun Oct 28 23:52:54 +0000 2018
1056695107464790016|RT @jewelrymandave: Excited to share the latest addition to my #etsy shop: Golf Bag Charm, Sterling Silver Charm, Golfing, Golfing Collecti|USA|Sun Oct 28 23:52:00 +0000 2018
